trade_date,open,close,high,low,volume,amount,pct_chg,ts_code,stock_name,fwd_return_1d,fwd_return_3d,fwd_return_5d
2023-10-20,167.21,169.21,175.9,167.21,300269.0,5478351217.0,-0.99,300750.SZ,宁德时代,-0.02210271260563801,-0.029667277347674492,0.021984516281543742
2023-10-23,168.51,165.47,168.51,164.01,202233.0,3597554198.0,-2.21,300750.SZ,宁德时代,-0.00507644890312442,0.004895147156584345,0.06502689309240339
2023-10-24,166.21,164.63,167.41,163.51,243795.0,4310104361.0,-0.51,300750.SZ,宁德时代,-0.002672659904027208,0.05041608455324065,0.055761404361295064
2023-10-25,166.41,164.19,167.71,163.89,215342.0,3818928277.0,-0.27,300750.SZ,宁德时代,0.012729155246969936,0.07332967903039167,0.07040623667702062
2023-10-26,162.21,166.28,166.51,157.02,414206.0,7175542946.0,1.27,300750.SZ,宁德时代,0.03999278325715672,0.04528506134231414,0.045104642771229164
2023-10-27,166.06,172.93,174.09,164.23,477953.0,8729936697.0,4.0,300750.SZ,宁德时代,0.019082865899496815,0.0163071763141156,0.015728907650494506
2023-10-30,175.21,176.23,178.09,173.01,322595.0,6050993028.0,1.91,300750.SZ,宁德时代,-0.013732054701242613,-0.013902286784315931,0.0514100890881235
2023-10-31,174.89,173.81,175.43,172.81,181525.0,3369355372.0,-1.37,300750.SZ,宁德时代,0.011161613255854075,0.010586272366376992,0.032449226166503475
2023-11-01,174.0,175.75,178.51,172.71,197273.0,3695120175.0,1.12,300750.SZ,宁德时代,-0.011209103840682744,0.05428165007112362,0.02446657183499301
2023-11-02,176.71,173.78,178.09,173.78,137627.0,2577685558.0,-1.12,300750.SZ,宁德时代,0.010760731959949421,0.032627460006905196,0.03383588445160535
2023-11-03,174.21,175.65,176.89,172.81,143655.0,2683301612.0,1.08,300750.SZ,宁德时代,0.05488186734984346,0.025049814972957662,0.009052092228864161
2023-11-06,176.78,185.29,185.31,176.66,349684.0,6798069246.0,5.49,300750.SZ,宁德时代,-0.03151816072103186,-0.03038480220195372,-0.04981380538615143
2023-11-07,184.2,179.45,184.32,178.33,260803.0,5008846046.0,-3.15,300750.SZ,宁德时代,0.0033435497353024868,-0.012315408191696742,-0.04212872666480916
2023-11-08,178.39,180.05,181.15,178.21,146522.0,2809047604.0,0.33,300750.SZ,宁德时代,-0.0021660649819494893,-0.022160510969175262,-0.040877534018328276
2023-11-09,178.84,179.66,180.79,178.74,109971.0,2104229338.0,-0.22,300750.SZ,宁德时代,-0.01346988756540124,-0.04324835800957372,-0.057330513191584
2023-11-10,177.21,177.24,178.18,176.26,116100.0,2189830819.0,-1.35,300750.SZ,宁德时代,-0.006657639359061163,-0.025671406003159647,-0.04682915820356581
2023-11-13,180.21,176.06,180.41,175.23,125196.0,2362258976.0,-0.67,300750.SZ,宁德时代,-0.023685107349767254,-0.0380552084516641,-0.04288310803135298
2023-11-14,176.06,171.89,177.01,171.21,234883.0,4346598777.0,-2.37,300750.SZ,宁德时代,0.004654139275117819,-0.017162138576996888,-0.017860259468264528
2023-11-15,175.1,172.69,176.8,171.79,238072.0,4423251194.0,0.47,300750.SZ,宁德时代,-0.019283108460246612,-0.024205223232381723,-0.04331460999478831
2023-11-16,173.69,169.36,173.7,168.31,174662.0,3180032494.0,-1.93,300750.SZ,宁德时代,-0.002479924421351032,-0.0031884742560227552,-0.02037080774681166
2023-11-17,168.06,168.94,169.46,167.7,110840.0,2000359414.0,-0.25,300750.SZ,宁德时代,-0.002545282348762945,-0.022078844560198818,-0.03391736711258431
2023-11-20,168.95,168.51,170.01,167.22,124087.0,2235037632.0,-0.25,300750.SZ,宁德时代,0.001839653433030719,-0.015429351373805633,-0.056969912764820996
2023-11-21,170.21,168.82,172.21,168.22,197662.0,3601130909.0,0.18,300750.SZ,宁德时代,-0.021383722307783404,-0.03323065987442242,-0.05147494372704653
2023-11-22,167.76,165.21,169.51,165.21,186886.0,3332638164.0,-2.14,300750.SZ,宁德时代,0.004237031656679324,-0.03813328491011447,-0.06143695902185098
2023-11-23,164.22,165.91,165.91,163.1,157203.0,2771265524.0,0.42,300750.SZ,宁德时代,-0.016273883430775626,-0.03483816527032735,-0.06449279729974078
2023-11-24,165.24,163.21,166.41,162.71,166212.0,2918741661.0,-1.63,300750.SZ,宁德时代,-0.02634642485141847,-0.049935665706758225,-0.05820721769499415
2023-11-27,162.5,158.91,162.71,158.81,184220.0,3161041987.0,-2.63,300750.SZ,宁德时代,0.00767730161726754,-0.023283619658926336,-0.05695047511169837
2023-11-28,158.24,160.13,160.18,157.08,202107.0,3443539749.0,0.77,300750.SZ,宁德时代,-0.0316617748079685,-0.040092424904764834,-0.08187097982888891
2023-11-29,159.21,155.06,159.59,154.58,251885.0,4235346582.0,-3.17,300750.SZ,宁德时代,0.0009673674706565105,-0.03353540564942592,-0.0256029923900426
2023-11-30,153.43,155.21,156.87,152.7,230272.0,3834512348.0,0.1,300750.SZ,宁德时代,-0.00966432575220666,-0.05276721860704847,-0.01617163842535929
2023-12-01,155.5,153.71,155.91,152.64,169622.0,2816101715.0,-0.97,300750.SZ,宁德时代,-0.02504716674256713,-0.017045084900136676,-0.012425997007351475
2023-12-04,151.71,149.86,152.65,149.45,239304.0,3892529224.0,-2.5,300750.SZ,宁德时代,-0.018951020952889364,0.01895102095288914,0.024689710396369913
2023-12-05,148.36,147.02,150.58,146.86,248077.0,3978910664.0,-1.9,300750.SZ,宁德时代,0.027683308393415818,0.032512583321997024,0.03278465514895923
2023-12-06,146.86,151.09,155.07,146.43,367693.0,6024339619.0,2.77,300750.SZ,宁德时代,0.0106559004566813,0.01634787212919453,-0.023363558144152474
2023-12-07,150.21,152.7,154.57,149.81,269084.0,4410841808.0,1.07,300750.SZ,宁德时代,-0.005893909626718874,-0.00563195808775363,-0.051473477406679624
2023-12-08,153.21,151.8,154.54,151.33,245020.0,4030383346.0,-0.59,300750.SZ,宁德时代,0.011594202898550732,-0.027931488801054116,-0.0565876152832675
2023-12-11,150.22,153.56,153.9,148.37,214896.0,3497265739.0,1.16,300750.SZ,宁德时代,-0.011200833550403688,-0.056785621255535323,-0.11969262828861682
2023-12-12,152.21,151.84,153.43,151.19,147339.0,2415527908.0,-1.12,300750.SZ,宁德时代,-0.02818756585879878,-0.05683614330874598,-0.09635142255005269
2023-12-13,150.76,147.56,151.8,146.92,252594.0,4045085653.0,-2.82,300750.SZ,宁德时代,-0.018433179723502335,-0.08389807535917593,-0.07386825698021149
2023-12-14,149.09,144.84,149.7,144.65,227514.0,3596263195.0,-1.84,300750.SZ,宁德时代,-0.011253797293565238,-0.052678818006075656,-0.015465341066003946
2023-12-15,145.41,143.21,146.89,142.81,202046.0,3158101585.0,-1.13,300750.SZ,宁德时代,-0.056071503386635024,-0.045737029537043616,0.009007750855387187
2023-12-18,141.32,135.18,141.9,134.49,429129.0,6398809829.0,-5.61,300750.SZ,宁德时代,0.01501701435123537,0.054889776594170714,0.07819204024263948
2023-12-19,134.52,137.21,138.19,134.48,251852.0,3734066912.0,1.5,300750.SZ,宁德时代,-0.004008454194300737,0.05313023832082209,0.051964142555207316
2023-12-20,137.41,136.66,139.41,136.53,212494.0,3174602188.0,-0.4,300750.SZ,宁德时代,0.043465534904141734,0.06651543977755026,0.04302648909702911
2023-12-21,135.78,142.6,143.54,135.78,421315.0,6433383992.0,4.35,300750.SZ,宁德时代,0.0133239831697054,0.012201963534361981,0.060308555399719355
2023-12-22,141.71,144.5,146.62,140.41,280321.0,4359921761.0,1.33,300750.SZ,宁德时代,0.00865051903114189,-0.013564013840830502,0.048235294117647154
2023-12-25,143.71,145.75,146.09,143.01,130056.0,2036117775.0,0.87,300750.SZ,宁德时代,-0.009674099485420196,0.03739279588336175,
2023-12-26,145.18,144.34,145.71,142.95,127673.0,1994477782.0,-0.97,300750.SZ,宁德时代,-0.012470555632534408,0.04939725647776072,
2023-12-27,145.74,142.54,146.21,142.08,173565.0,2686313989.0,-1.25,300750.SZ,宁德时代,0.060754875824329924,,
2023-12-28,142.43,151.2,151.37,141.78,378502.0,6079407754.0,6.08,300750.SZ,宁德时代,0.0017857142857142794,,
2023-12-29,152.19,151.47,153.21,150.21,226838.0,3707101874.0,0.18,300750.SZ,宁德时代,,,
2023-10-20,1504.58,1519.58,1529.58,1490.83,45376.0,7421390806.0,1.0,600519.SH,贵州茅台,-0.0006712381052659255,0.021387488648179076,0.020867608154884865
2023-10-23,1504.55,1518.56,1534.58,1496.18,25234.0,4138279588.0,-0.07,600519.SH,贵州茅台,-0.0006782741544620885,0.018603150352966003,0.024378358444842485
2023-10-24,1522.58,1517.53,1527.94,1495.79,29861.0,4894807617.0,-0.07,600519.SH,贵州茅台,0.02276725995532214,0.022246677166184448,0.02743273609088459
2023-10-25,1544.69,1552.08,1572.58,1541.6,36179.0,6075417064.0,2.28,600519.SH,贵州茅台,-0.0033954435338384714,0.002255038400082565,0.06667826400701005
2023-10-26,1541.58,1546.81,1562.58,1536.59,22386.0,3741418874.0,-0.34,600519.SH,贵州茅台,0.002896283318571724,0.007984173880437817,0.06934917669267726
2023-10-27,1538.58,1551.29,1566.46,1535.18,34262.0,5754795486.0,0.29,600519.SH,贵州茅台,0.002765440375429362,0.0672214737412089,0.08672137382436551
2023-10-30,1543.58,1555.58,1563.46,1543.58,24086.0,4050573178.0,0.28,600519.SH,贵州茅台,0.0023013924066908054,0.06332043353604444,0.08421296236773412
2023-10-31,1554.58,1559.16,1564.58,1542.43,19859.0,3335804699.0,0.23,600519.SH,贵州茅台,0.06183457759306288,0.08123605018086644,0.06836373431847909
2023-11-01,1724.58,1655.57,1724.58,1648.37,93143.0,16747292689.0,6.18,600519.SH,贵州茅台,-0.0008999921477195194,0.018730709060927664,0.010479774337539327
2023-11-02,1669.58,1654.08,1669.58,1650.64,27908.0,4982090753.0,-0.09,600519.SH,贵州茅台,0.019188914683691216,0.007055281485780718,0.008832704585026274
2023-11-03,1654.58,1685.82,1689.47,1648.58,30176.0,5433116881.0,1.92,600519.SH,贵州茅台,0.0004508191859153854,-0.0076520624977755025,-0.020998683133430562
2023-11-06,1694.58,1686.58,1698.37,1675.7,25524.0,4624102375.0,0.05,600519.SH,贵州茅台,-0.012350436978975199,-0.010607264404890349,-0.02845996039322174
2023-11-07,1679.58,1665.75,1684.58,1658.66,19582.0,3511590028.0,-1.24,600519.SH,贵州茅台,0.004304367402071074,-0.00920306168392615,-0.015548551703436941
2023-11-08,1658.63,1672.92,1678.38,1657.45,14546.0,2610041959.0,0.43,600519.SH,贵州茅台,-0.0025285130191521343,-0.02052698276068199,-0.015189010831360816
2023-11-09,1664.69,1668.69,1673.58,1657.58,12800.0,2291996819.0,-0.25,600519.SH,贵州茅台,-0.01094870826816241,-0.017283018415643503,-0.020411220777975525
2023-11-10,1655.13,1650.42,1662.58,1647.68,16466.0,2928380668.0,-1.09,600519.SH,贵州茅台,-0.0071739314841071655,-0.0017631875522594598,-0.01358442093527712
2023-11-13,1646.86,1638.58,1659.46,1631.56,18370.0,3244573621.0,-0.72,600519.SH,贵州茅台,0.0007750613335937295,-0.0024106238328307494,-0.0009154267719611031
2023-11-14,1638.58,1639.85,1649.57,1634.59,12817.0,2263963957.0,0.08,600519.SH,贵州茅台,0.004671158947464837,-0.007226270695490422,0.01508064762020922
2023-11-15,1653.58,1647.51,1657.47,1641.58,18435.0,3271230275.0,0.47,600519.SH,贵州茅台,-0.00781785846519889,-0.00633076582236225,0.005207859132873249
2023-11-16,1648.58,1634.63,1650.58,1634.63,12558.0,2215937273.0,-0.78,600519.SH,贵州茅台,-0.004055963734912571,0.01832218911925021,0.01587515217510993
